지하철역ID,지하철역명,지하철호선ID,지하철호선명,이전지하철역ID,다음지하철역ID,이전지하철역명,다음지하철역명,지하철역X좌표,지하철역Y좌표
1007000710,도봉산,1007,7호선,1007000709,1007000711,도봉산,도봉산,127.046425596353,37.6896304650032
1007000711,수락산,1007,7호선,1007000710,1007000712,수락산,수락산,127.055350968781,37.6778814656816
1007000712,마들,1007,7호선,1007000711,1007000713,마들,마들,127.057712619869,37.6652017465321
1007000713,노원,1007,7호선,1007000712,1007000714,노원,노원,127.06055556456411,37.6545110763411
1007000714,중계,1007,7호선,1007000713,1007000715,중계,중계,127.06411035896,37.6450921230569
1007000715,하계,1007,7호선,1007000714,1007000716,하계,하계,127.067991278758,37.6364765391858
1007000716,공릉,1007,7호선,1007000715,1007000717,공릉,공릉,127.073033585328,37.6255427648558
1007000717,태릉입구,1007,7호선,1007000716,1007000718,태릉입구,태릉입구,127.075405300578,37.618459513199
1007000718,먹골,1007,7호선,1007000717,1007000719,먹골,먹골,127.077762187968,37.6106193846197
1007000719,중화,1007,7호선,1007000718,1007000720,중화,중화,127.079312037122,37.6025526943256
1007000720,상봉,1007,7호선,1007000719,1007000721,상봉,상봉,127.085754455388,37.5955853328943
1007000736,총신대입구(이수),1007,7호선,1007000735,1007000737,총신대입구(이수),총신대입구(이수),126.98167629035197,37.48528852311765
1001080143,독산,1001,1호선,1001080142,1001080144,독산,독산,126.88947790336374,37.46597376787178
1004000416,미아사거리,1004,4호선,1004000415,1004000417,미아사거리,미아사거리,127.03008663628454,37.61327836400571
1004000417,길음,1004,4호선,1004000416,1004000418,길음,길음,127.02506019737066,37.603394782316634
1004000418,성신여대입구,1004,4호선,1004000417,1004000419,성신여대입구,성신여대입구,127.0171260607647,37.59296812939267
1004000419,한성대입구,1004,4호선,1004000418,1004000420,한성대입구,한성대입구,127.00601781685579,37.58842461354086
1004000420,혜화,1004,4호선,1004000419,1004000421,혜화,혜화,127.00194500977393,37.58204391787134
1004000421,동대문,1004,4호선,1004000420,1004000422,동대문,동대문,127.009313828405,37.5709072753658
1004000422,동대문역사문화공원,1004,4호선,1004000421,1004000423,동대문역사문화공원,동대문역사문화공원,127.00791523866731,37.56514370780825
1004000423,충무로,1004,4호선,1004000422,1004000424,충무로,충무로,126.995255388268,37.5615119611571
1004000424,명동,1004,4호선,1004000423,1004000425,명동,명동,126.98640235001736,37.56096526943837
1004000425,회현,1004,4호선,1004000424,1004000426,회현,회현,126.9784372569283,37.55876114587941
1004000426,서울,1004,4호선,1004000425,1004000427,서울,서울,126.972644620034,37.5530287004642
