Unnamed: 0,지하철역ID,지하철역명,지하철호선ID,지하철호선명,이전지하철역ID,다음지하철역ID,기본주소,상세주소,지하철역X좌표,지하철역Y좌표
503,1007000716,공릉,1007,7호선,1007000715,1007000717,서울특별시 노원구 공릉1동,395,206446.9779,458447.2796
504,1007000717,태릉입구,1007,7호선,1007000716,1007000718,서울특별시 노원구 공릉동,680,206655.2737,457674.9683
505,1007000718,먹골,1007,7호선,1007000717,1007000719,서울특별시 중랑구 묵동,175-4,206862.6277,456839.0377
506,1007000719,중화,1007,7호선,1007000718,1007000720,서울특별시 중랑구 중화동,285,207008.7502,455898.4459
507,1007000720,상봉,1007,7호선,1007000719,1007000721,서울특별시 중랑구 상봉동,115,207578.7718,455121.4287
508,1007000736,총신대입구(이수),1007,7호선,1007000735,1007000737,서울특별시 동작구 사당동,144-4,198319.0192,442850.4481
509,1001080143,독산,1001,1호선,1001080142,1001080144,서울특별시 금천구 가산동,717,190182.2967,440773.3833
510,1004000416,미아사거리,1004,4호선,1004000415,1004000417,서울특별시 강북구 미아4동,71-5,202664.8765,457092.6278
511,1004000417,길음,1004,4호선,1004000416,1004000418,서울특별시 성북구 길음1동,877-66,202213.0,455988.1
512,1004000418,성신여대입구,1004,4호선,1004000417,1004000419,서울특별시 성북구 동선동 4가,1,201476.1615,454799.5304
513,1004000419,한성대입구,1004,4호선,1004000418,1004000420,서울특별시 성북구 삼선동1가,14,200539.7,454323.2
514,1004000420,혜화,1004,4호선,1004000419,1004000421,서울특별시 종로구 명륜동,4가 1,200165.4,453652.4
515,1004000421,동대문,1004,4호선,1004000420,1004000422,서울특별시 종로구 종로6가,69,200820.7558,452387.5452
516,1004000422,동대문역사문화공원,1004,4호선,1004000421,1004000423,서울특별시 중구 광희동,1가 194,200677.9,451717.1
517,1004000423,충무로,1004,4호선,1004000422,1004000424,서울특별시 중구 충무로4가,125,199402.5,451281.8
518,1004000424,명동,1004,4호선,1004000423,1004000425,서울특별시 중구 충무로1가,64,198759.348,451277.6549
519,1004000425,회현,1004,4호선,1004000424,1004000426,서울특별시 중구 남창동,46,198079.3911,451014.6243
520,1004000426,서울,1004,4호선,1004000425,1004000427,서울특별시 용산구 동자동,14,197595.6,450477.5
521,1004000427,숙대입구,1004,4호선,1004000426,1004000428,서울특별시 용산구 갈월동,101,197527.6252,449450.0514
522,1004000428,삼각지,1004,4호선,1004000427,1004000429,서울특별시 용산구 한강로1가,293,197563.1489,448296.6491
523,1004000429,신용산,1004,4호선,1004000428,1004000430,서울특별시 용산구 한강로2가,181,197138.5259,447751.2327
524,1004000430,이촌,1004,4호선,1004000429,1004000431,서울특별시 용산구 용산동5가,17,197731.5412,446990.238
525,1004000431,동작,1004,4호선,1004000430,1004000432,서울특별시 동작구 동작동,121-5,198259.4534,444843.3215
526,1004000432,총신대입구(이수),1004,4호선,1004000431,1004000433,서울특별시 동작구 사당2동,9-31,198424.7826,443134.9313
527,1004000433,사당,1004,4호선,1004000432,1004000434,서울특별시 동작구 사당1동,1112,198376.0325,441886.7577
528,1004000434,남태령,1004,4호선,1004000433,1004000435,서울특별시 서초구 방배2동,2909,198842.834,440909.443
529,1004000435,선바위,1004,4호선,1004000434,1004000436,경기도 과천시 과천동,351-7,200204.7383,439133.3014
530,1004000436,경마공원,1004,4호선,1004000435,1004000437,경기도 과천시 과천동,646,200696.0222,438242.8745
531,1004000437,대공원,1004,4호선,1004000436,1004000438,경기도 과천시 과천동,727-1,200584.5098,437386.5359
532,1004000438,과천,1004,4호선,1004000437,1004000439,경기도 과천시 별양동,2,199639.59,437044.2519
533,1004000439,정부과천청사,1004,4호선,1004000438,1004000440,경기도 과천시 별양동,1,199101.4085,436320.6161
534,1004000440,인덕원,1004,4호선,1004000439,1004000441,경기도 안양시 동안구 관양2동,1566,197938.3087,433586.7115
535,1004000441,평촌,1004,4호선,1004000440,1004000442,경기도 안양시 동안구 부림동,1608,196790.1051,432779.72
536,1004000442,범계,1004,4호선,1004000441,1004000443,경기도 안앙시 동안구 호계동,1039-2,195638.1017,432287.1196
537,1004000443,금정,1004,4호선,1004000442,1004000444,경기도 군포시 금정동,87-1,194995.5577,430337.8196
538,1004000444,산본,1004,4호선,1004000443,1004000445,경기도 군포시 산본동,1231,194080.7597,428768.3997
539,1004000445,수리산,1004,4호선,1004000444,1004000446,경기도 군포시 산본동,1231-1,193403.8034,427877.8647
540,1004000446,대야미,1004,4호선,1004000445,1004000447,경기도 안산시 상록구 대야미동,233-4,192658.6913,425467.7993
541,1005000532,서대문,1005,5호선,1005000531,1005000533,서울특별시 종로구 평동,90,197057.9,451810.1
542,1005000533,광화문,1005,5호선,1005000532,1005000534,서울특별시 종로구 도렴동,83,197961.9,452458.7
543,1005000534,종로3가,1005,5호선,1005000533,1005000535,서울특별시 종로구 돈의동,46,199127.4283,452568.6269
544,1005000535,을지로4가,1005,5호선,1005000534,1005000536,서울특별시 중구 을지로4가,261,199829.9825,452013.129
545,1005000536,동대문역사문화공원,1005,5호선,1005000535,1005000537,서울특별시 중구 광희동,1가 194,200520.6,451677.1
546,1005000537,청구,1005,5호선,1005000536,1005000538,서울특별시 중구 신당2동,294,201248.4,451173.7
547,1005000538,신금호,1005,5호선,1005000537,1005000539,서울특별시 성동구 금호2가동,223-1,201794.1008,450562.4276
548,1005000539,행당,1005,5호선,1005000538,1005000540,서울특별시 성동구 행당2동,317-241,202638.2,450896.0
549,1005000540,왕십리,1005,5호선,1005000539,1005000541,서울특별시 성동구 행당동,192,203300.5,451365.7
550,1005000541,마장,1005,5호선,1005000540,1005000542,서울특별시 성동구 용답동,99,203816.2526,451875.5334
551,1005000542,답십리,1005,5호선,1005000541,1005000543,서울특별시 성동구 용답동,128,204700.4164,451893.122
552,1005000543,장한평,1005,5호선,1005000542,1005000544,서울특별시 동대문구 장안동,416,205713.5,451328.5
553,1005000544,군자,1005,5호선,1005000543,1005000545,서울특별시 광진구 능동,277,207004.1364,450863.7216
554,1005000545,아차산,1005,5호선,1005000544,1005000546,서울특별시 광진구 능동,256,207913.3,450293.4
555,1005000546,광나루,1005,5호선,1005000545,1005000547,서울특별시 광진구 광장동,237,209199.4,449521.2
556,1005000547,천호,1005,5호선,1005000546,1005000548,서울특별시 강동구 천호2동,455,210936.2081,448791.1781
557,1005000548,강동,1005,5호선,1005000547,1005000549,서울특별시 강동구 천호3동,447,211731.6865,448495.1309
558,1005000549,길동,1005,5호선,1005000548,1005000550,서울특별시 강동구 길동,378,212385.2472,448757.6226
559,1005000550,굽은다리,1005,5호선,1005000549,1005000551,서울특별시 강동구 명일1동,345-12,212613.9513,449534.4588
560,1005000551,명일,1005,5호선,1005000550,1005000552,서울특별시 강동구 명일동,312,212733.8265,450288.3597
561,1005000552,고덕,1005,5호선,1005000551,1005000553,서울특별시 강동구 고덕동,310,213634.9,450629.5
562,1005000553,상일동,1005,5호선,1005000552,1005000553,서울특별시 강동구 상일동,148,214659.1,450806.1
563,1005080549,둔촌동,1005,5호선,1005000548,1005080550,서울특별시 강동구 둔촌동,416,212047.6,447611.3
564,1005080550,올림픽공원,1005,5호선,1005080549,1005080551,서울특별시 송파구 방이동,89,211619.6874,446415.4267
565,1005080551,방이,1005,5호선,1005080550,1005080552,서울특별시 송파구 방이1동,217-2,211136.6786,445471.0817
566,1005080552,오금,1005,5호선,1005080551,1005080553,서울특별시 송파구 오금동,44-2,211280.9442,444776.2328
